"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01714 2209300 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
0.01724 2209076 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
0.01734 2208852 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
0.01744 2208628 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
0.01754 2208404 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
0.01764 2208180 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
0.01774 2207956 0 0.9993 1.0000 0.9985 0.9993 0.9994 1.0000 0.9985
0.01784 2207732 0 0.9993 1.0000 0.9985 0.9993 0.9994 1.0000 0.9985
0.01794 2207508 0 0.9993 1.0000 0.9985 0.9993 0.9994 1.0000 0.9985
0.01804 2207284 0 0.9993 1.0000 0.9985 0.9993 0.9994 1.0000 0.9985
0.01814 2207060 0 0.9993 1.0000 0.9985 0.9993 0.9994 1.0000 0.9985
0.01824 2206836 0 0.9992 1.0000 0.9985 0.9992 0.9994 1.0000 0.9985
0.01834 2206612 0 0.9992 1.0000 0.9985 0.9992 0.9994 1.0000 0.9985
0.01844 2206388 0 0.9992 1.0000 0.9984 0.9992 0.9993 1.0000 0.9984
0.01854 2206164 0 0.9992 1.0000 0.9984 0.9992 0.9993 1.0000 0.9984
0.01863 2205940 0 0.9992 1.0000 0.9984 0.9992 0.9993 1.0000 0.9984
0.01873 2205716 0 0.9992 1.0000 0.9984 0.9992 0.9993 1.0000 0.9984
0.01883 2205492 0 0.9992 1.0000 0.9984 0.9992 0.9993 1.0000 0.9984
0.01893 2205268 0 0.9992 1.0000 0.9984 0.9992 0.9993 1.0000 0.9984
0.01903 2205044 0 0.9992 1.0000 0.9984 0.9992 0.9993 1.0000 0.9984
0.01913 2204820 0 0.9992 1.0000 0.9983 0.9992 0.9993 1.0000 0.9983
0.01923 2204596 0 0.9992 1.0000 0.9983 0.9992 0.9993 1.0000 0.9983
0.01933 2204372 0 0.9992 1.0000 0.9983 0.9992 0.9993 1.0000 0.9983
0.01943 2204148 0 0.9992 1.0000 0.9983 0.9992 0.9993 1.0000 0.9983
0.01953 2203924 0 0.9992 1.0000 0.9983 0.9992 0.9993 1.0000 0.9983
0.01963 2203700 0 0.9992 1.0000 0.9983 0.9992 0.9993 1.0000 0.9983
0.01973 2203476 0 0.9991 1.0000 0.9983 0.9991 0.9993 1.0000 0.9983
0.01983 2203252 0 0.9991 1.0000 0.9982 0.9991 0.9993 1.0000 0.9982
0.01993 2203028 0 0.9991 1.0000 0.9982 0.9991 0.9993 1.0000 0.9982
0.02003 2202804 0 0.9991 1.0000 0.9982 0.9991 0.9993 1.0000 0.9982
0.02013 2202580 0 0.9991 1.0000 0.9982 0.9991 0.9993 1.0000 0.9982
0.02023 2202356 0 0.9991 1.0000 0.9982 0.9991 0.9992 1.0000 0.9982
0.02033 2202132 0 0.9991 1.0000 0.9982 0.9991 0.9992 1.0000 0.9982
0.02043 2201908 0 0.9991 1.0000 0.9981 0.9991 0.9992 1.0000 0.9981
0.02053 2201684 0 0.9991 1.0000 0.9981 0.9991 0.9992 1.0000 0.9981
0.02063 2201460 0 0.9991 1.0000 0.9981 0.9991 0.9992 1.0000 0.9981
