"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.04973 0.3515 0.3784
0.04983 0.3515 0.3790
0.04993 0.3521 0.3802
0.05003 0.3515 0.3790
0.05013 0.3486 0.3802
0.05023 0.3503 0.3790
0.05033 0.3509 0.3808
0.05043 0.3498 0.3796
0.05053 0.3533 0.3808
0.05063 0.3497 0.3808
0.05073 0.3509 0.3808
0.05083 0.3533 0.3814
0.05093 0.3515 0.3814
0.05103 0.3515 0.3814
0.05113 0.3545 0.3814
0.05123 0.3503 0.3820
0.05133 0.3545 0.3814
0.05143 0.3521 0.3820
0.05153 0.3527 0.3826
0.05163 0.3557 0.3826
0.05173 0.3533 0.3826
0.05183 0.3533 0.3826
0.05193 0.3545 0.3838
0.05203 0.3539 0.3820
0.05213 0.3491 0.3838
0.05223 0.3539 0.3832
0.05233 0.3545 0.3838
0.05243 0.3539 0.3838
0.05253 0.3575 0.3838
0.05263 0.3533 0.3844
0.05273 0.3551 0.3850
0.05283 0.3569 0.3844
0.05293 0.3510 0.3844
0.05303 0.3551 0.3850
0.05313 0.3551 0.3856
0.05323 0.3539 0.3850
0.05333 0.3557 0.3856
0.05343 0.3563 0.3850
0.05353 0.3557 0.3868
0.05363 0.3545 0.3856
0.05373 0.3563 0.3862
0.05383 0.3563 0.3862
0.05393 0.3593 0.3873
0.05403 0.3557 0.3868
0.05413 0.3569 0.3856
0.05423 0.3575 0.3874
0.05433 0.3581 0.3873
0.05443 0.3575 0.3873
0.05453 0.3575 0.3873
0.05463 0.3593 0.3885
0.05473 0.3569 0.3868
0.05483 0.3593 0.3892
0.05493 0.3605 0.3873
0.05503 0.3569 0.3891
0.05513 0.3611 0.3873
0.05523 0.3587 0.3885
0.05533 0.3581 0.3903
0.05543 0.3599 0.3885
0.05553 0.3611 0.3892
0.05563 0.3575 0.3891
0.05573 0.3611 0.3891
0.05583 0.3569 0.3897
0.05593 0.3575 0.3909
0.05603 0.3593 0.3897
0.05613 0.3569 0.3903
0.05623 0.3629 0.3897
0.05632 0.3605 0.3909
0.05642 0.3611 0.3903
0.05652 0.3647 0.3915
0.05662 0.3635 0.3909
0.05672 0.3611 0.3915
0.05682 0.3599 0.3909
0.05692 0.3617 0.3915
0.05702 0.3647 0.3915
0.05712 0.3623 0.3921
0.05722 0.3629 0.3915
0.05732 0.3611 0.3927
0.05742 0.3611 0.3921
0.05752 0.3617 0.3933
0.05762 0.3611 0.3921
0.05772 0.3629 0.3933
0.05782 0.3629 0.3921
0.05792 0.3605 0.3945
0.05802 0.3635 0.3921
0.05812 0.3623 0.3939
0.05822 0.3653 0.3939
0.05832 0.3641 0.3939
0.05842 0.3653 0.3939
0.05852 0.3629 0.3939
0.05862 0.3641 0.3951
0.05872 0.3629 0.3945
0.05882 0.3599 0.3945
